0,1,2,3,4,5,6,7,8,9,10
specialty fat,pet care,,,,,,,,,
chocolate,whole milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
root vegetables,dog food,,,,,,,,,
sausage,mustard,,,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,soda,soda,fruit/vegetable juice,,,,,,,
curd,brown bread,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
baking powder,bottled water,,,,,,,,,
UHT-milk,cling film/bags,,,,,,,,,
newspapers,salty snack,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
curd,brown bread,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
tropical fruit,butter,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
grapes,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
packaged fruit/vegetables,flour,,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
beef,yogurt,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
ham,whole milk,other vegetables,soda,white bread,tropical fruit,sugar,,,,
other vegetables,chocolate,,,,,,,,,
rolls/buns,red/blush wine,chocolate,,,,,,,,
dessert,dog food,newspapers,,,,,,,,
butter,specialty bar,,,,,,,,,
other vegetables,soda,,,,,,,,,
yogurt,newspapers,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
finished products,other vegetables,,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
beef,long life bakery product,,,,,,,,,
whole milk,sugar,,,,,,,,,
pastry,specialty chocolate,,,,,,,,,
tropical fruit,pork,whole milk,salt,,,,,,,
specialty bar,newspapers,,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
pastry,bottled beer,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
root vegetables,beverages,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
butter milk,canned vegetables,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
salty snack,coffee,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
meat,shopping bags,UHT-milk,,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
sausage,UHT-milk,,,,,,,,,
pork,oil,,,,,,,,,
butter,onions,napkins,,,,,,,,
beef,domestic eggs,,,,,,,,,
flour,cream cheese ,,,,,,,,,
beverages,sugar,,,,,,,,,
oil,waffles,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
rolls/buns,bottled water,white bread,brown bread,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sugar,candy,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
pork,other vegetables,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
soda,pasta,curd cheese,,,,,,,,
bottled beer,dog food,oil,,,,,,,,
frankfurter,soda,,,,,,,,,
whole milk,citrus fruit,butter,pip fruit,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
chicken,rolls/buns,other vegetables,margarine,,,,,,,
chicken,pastry,,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
newspapers,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,oil,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
beef,pastry,,,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
other vegetables,liquor,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pork,sugar,,,,,,,,,
soda,soda,,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
beef,berries,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
frozen meals,newspapers,,,,,,,,,
whole milk,ice cream,turkey,artif. sweetener,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
citrus fruit,ham,onions,yogurt,pasta,newspapers,,,,,
bottled water,brown bread,,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
soda,root vegetables,,,,,,,,,
chicken,other vegetables,,,,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
sausage,dessert,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
whipped/sour cream,soda,white bread,snack products,,,,,,,
other vegetables,newspapers,,,,,,,,,
whole milk,soda,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
citrus fruit,chocolate,,,,,,,,,
UHT-milk,butter milk,frozen vegetables,other vegetables,candy,fruit/vegetable juice,,,,,
chicken,butter milk,sugar,,,,,,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
beef,pork,salty snack,abrasive cleaner,pasta,shopping bags,,,,,
pork,butter milk,,,,,,,,,
ham,frozen meals,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
pip fruit,sweet spreads,,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
house keeping products,frozen vegetables,,,,,,,,,
flour,flower (seeds),bottled water,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
UHT-milk,dessert,,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
sausage,white bread,,,,,,,,,
salty snack,dessert,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
finished products,root vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
pastry,rolls/buns,,,,,,,,,
pip fruit,newspapers,chocolate,,,,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
yogurt,butter,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
shopping bags,soda,,,,,,,,,
pastry,pasta,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,yogurt,,,,,,,,,
bottled water,butter milk,,,,,,,,,
citrus fruit,ham,,,,,,,,,
sausage,sausage,whole milk,canned fruit,cake bar,,,,,,
other vegetables,shopping bags,frozen vegetables,shopping bags,,,,,,,
pip fruit,waffles,,,,,,,,,
tropical fruit,canned beer,pastry,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
fruit/vegetable juice,sausage,sausage,domestic eggs,seasonal products,,,,,,
bottled water,root vegetables,,,,,,,,,
candy,whole milk,,,,,,,,,
condensed milk,shopping bags,,,,,,,,,
chicken,white bread,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
butter,hygiene articles,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
bottled water,soda,,,,,,,,,
pork,whole milk,other vegetables,,,,,,,,
liver loaf,grapes,soda,photo/film,,,,,,,
beef,Instant food products,,,,,,,,,
whole milk,hamburger meat,soft cheese,long life bakery product,margarine,bottled beer,,,,,
frankfurter,tropical fruit,,,,,,,,,
sausage,flour,,,,,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
brown bread,shopping bags,,,,,,,,,
semi-finished bread,margarine,butter,,,,,,,,
onions,bottled water,cream cheese ,hard cheese,,,,,,,
whole milk,detergent,,,,,,,,,
onions,white wine,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
pork,pastry,,,,,,,,,
margarine,shopping bags,pickled vegetables,rolls/buns,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
white bread,bottled water,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
coffee,bottled beer,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
frozen meals,dental care,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
salty snack,butter,,,,,,,,,
butter,roll products ,,,,,,,,,
hygiene articles,newspapers,,,,,,,,,
frankfurter,sausage,,,,,,,,,
dessert,pastry,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
oil,canned beer,,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
yogurt,soda,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
root vegetables,butter,specialty bar,domestic eggs,,,,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
meat,onions,misc. beverages,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,curd,,,,,,,,,
chicken,chocolate,,,,,,,,,
herbs,pot plants,cake bar,,,,,,,,
curd,cream cheese ,,,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
oil,onions,,,,,,,,,
other vegetables,herbs,,,,,,,,,
beef,whole milk,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
root vegetables,whole milk,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pet care,other vegetables,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
berries,root vegetables,,,,,,,,,
pastry,other vegetables,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
chicken,curd,,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
bottled water,whipped/sour cream,berries,whole milk,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
whole milk,chocolate,,,,,,,,,
soda,newspapers,,,,,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
pot plants,frozen vegetables,coffee,,,,,,,,
sausage,tropical fruit,yogurt,,,,,,,,
whole milk,shopping bags,,,,,,,,,
herbs,coffee,salt,,,,,,,,
oil,other vegetables,,,,,,,,,
frankfurter,white wine,,,,,,,,,
onions,abrasive cleaner,,,,,,,,,
whole milk,yogurt,,,,,,,,,
chewing gum,condensed milk,,,,,,,,,
canned fish,curd,,,,,,,,,
pastry,detergent,dishes,,,,,,,,
onions,bottled water,pastry,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
yogurt,shopping bags,bottled water,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
yogurt,yogurt,,,,,,,,,
chicken,soda,packaged fruit/vegetables,,,,,,,,
photo/film,whole milk,,,,,,,,,
berries,dishes,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
meat,curd,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
chicken,tropical fruit,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
curd,newspapers,,,,,,,,,
other vegetables,citrus fruit,pork,frozen vegetables,cat food,curd,spices,soda,,,
beef,herbs,oil,,,,,,,,
yogurt,salt,,,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
sausage,root vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
pastry,sugar,,,,,,,,,
sausage,soda,other vegetables,,,,,,,,
sausage,soda,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
candy,domestic eggs,,,,,,,,,
berries,pastry,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
sausage,margarine,,,,,,,,,
onions,butter,,,,,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,,
newspapers,cookware,,,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
chicken,whole milk,rolls/buns,,,,,,,,
white wine,soda,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
herbs,sugar,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chewing gum,newspapers,candy,,,,,,,,
canned beer,other vegetables,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
sausage,sugar,yogurt,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
salty snack,soups,,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
pastry,misc. beverages,,,,,,,,,
other vegetables,beef,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
bottled beer,newspapers,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
berries,coffee,,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,beef,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
salty snack,canned beer,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
semi-finished bread,nuts/prunes,butter,ice cream,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,whipped/sour cream,bottled beer,,,,,,,,
pork,yogurt,,,,,,,,,
salty snack,beef,,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
sausage,curd,salty snack,,,,,,,,
canned beer,coffee,,,,,,,,,
tropical fruit,soda,,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,white bread,red/blush wine,,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
bottled beer,root vegetables,hygiene articles,,,,,,,,
pork,frozen vegetables,,,,,,,,,
bottled water,tropical fruit,domestic eggs,,,,,,,,
soda,citrus fruit,,,,,,,,,
pastry,brown bread,,,,,,,,,
frankfurter,fruit/vegetable juice,baking powder,,,,,,,,
berries,pastry,soda,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
chicken,onions,white bread,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
candy,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
grapes,other vegetables,,,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
root vegetables,sliced cheese,,,,,,,,,
beef,frankfurter,canned beer,pip fruit,brown bread,frozen vegetables,newspapers,misc. beverages,,,
pip fruit,butter,soda,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
coffee,frozen potato products,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
dish cleaner,soda,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
pork,shopping bags,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
whole milk,coffee,fruit/vegetable juice,,,,,,,,
rolls/buns,flower (seeds),,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
whole milk,baking powder,,,,,,,,,
fruit/vegetable juice,sausage,whole milk,pip fruit,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
napkins,coffee,,,,,,,,,
frozen fish,white bread,,,,,,,,,
snack products,soda,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
soda,yogurt,,,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
butter,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
other vegetables,spices,,,,,,,,,
meat,yogurt,,,,,,,,,
rolls/buns,salty snack,waffles,,,,,,,,
ham,other vegetables,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
hard cheese,butter,,,,,,,,,
bottled water,other vegetables,vinegar,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sausage,white bread,candles,,,,,,,,
bottled beer,whole milk,UHT-milk,chocolate,,,,,,,
other vegetables,newspapers,chewing gum,dessert,,,,,,,
hygiene articles,vinegar,,,,,,,,,
soda,shopping bags,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
whole milk,coffee,,,,,,,,,
ice cream,pork,,,,,,,,,
soda,semi-finished bread,coffee,,,,,,,,
white bread,brown bread,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
rolls/buns,candy,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
dishes,other vegetables,pastry,,,,,,,,
pork,ham,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
hamburger meat,oil,,,,,,,,,
bottled water,whole milk,,,,,,,,,
beef,butter,,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
bottled water,domestic eggs,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
long life bakery product,onions,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
shopping bags,soda,,,,,,,,,
dessert,coffee,,,,,,,,,
other vegetables,dishes,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
soda,beef,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
rolls/buns,canned vegetables,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
misc. beverages,pastry,,,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
sausage,canned beer,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
butter,shopping bags,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
chocolate,beef,,,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
bottled beer,yogurt,,,,,,,,,
bottled water,dental care,,,,,,,,,
finished products,pip fruit,,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
meat,detergent,canned beer,,,,,,,,
salt,napkins,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
other vegetables,cat food,bottled water,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
sausage,sparkling wine,,,,,,,,,
candles,whole milk,,,,,,,,,
brown bread,canned beer,,,,,,,,,
soda,hard cheese,,,,,,,,,
beverages,sparkling wine,,,,,,,,,
tropical fruit,butter,hamburger meat,rolls/buns,soda,shopping bags,,,,,
ham,sausage,curd,other vegetables,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,canned vegetables,cling film/bags,,,,,,,,
pet care,shopping bags,,,,,,,,,
specialty chocolate,citrus fruit,UHT-milk,frozen meals,,,,,,,
turkey,root vegetables,,,,,,,,,
pork,white bread,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
pastry,salty snack,,,,,,,,,
cookware,cream cheese ,,,,,,,,,
cream cheese ,pudding powder,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
yogurt,napkins,,,,,,,,,
whole milk,berries,specialty chocolate,white bread,,,,,,,
ice cream,bottled beer,brown bread,,,,,,,,
tropical fruit,fish,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
frankfurter,other vegetables,root vegetables,other vegetables,,,,,,,
chocolate,whipped/sour cream,brown bread,,,,,,,,
fruit/vegetable juice,pickled vegetables,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
white bread,UHT-milk,,,,,,,,,
candy,dessert,rolls/buns,canned fish,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
hygiene articles,pastry,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soft cheese,berries,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
butter,dog food,,,,,,,,,
ham,curd,,,,,,,,,
curd,whole milk,,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
chicken,dog food,,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
photo/film,other vegetables,,,,,,,,,
bottled water,sugar,,,,,,,,,
dishes,dessert,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
turkey,bottled water,,,,,,,,,
mustard,yogurt,,,,,,,,,
whole milk,candy,,,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
whole milk,cat food,bottled beer,,,,,,,,
